Type,Name,Title,Link,Author,AuthorGH,ScreenshotUrl,Description,SP2019,Categories,ColumnTypes,Tokens,Operators,Actions,Features,Classes
View,book-template,Book Template Card Formatter,https://github.com/pnp/list-formatting/tree/master/view-samples/book-template,Sudeep Ghatak,sudeepghatak,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/book-template/assets/screenshot.png,This SharePoint JSON view formatting sample transforms your list items into visually rich book cards.,,Inline Editing,,,,setValue,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-gray40|ms-bgColor-gray60--hover
View,bookmarks,Bookmarks,https://github.com/pnp/List-Formatting/tree/master/view-samples/bookmarks,Watana,watana2,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/bookmarks/assets/screenshot.png,Creating custom bookmarks for SharePoint page.,,Grouped,,@group.fieldData|@group.count,indexOf,defaultClick,hideSelection|hideListHeader|rowFormatter|groupProps|headerFormatter,ms-bgColor-neutralLight--hover|ms-fontColor-neutralSecondary-hover
View,budget-tracker,Budget Tracker Sample,https://github.com/pnp/list-formatting/tree/master/view-samples/budget-tracker,Todd Baginski,TBag,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/budget-tracker/assets/screenshot.png,"The budget tracker sample demonstrates how to use view formatting to format lists and display views of the lists inside connected web parts. This provides the ability to view the budget items associated with individual projects on a single page. ",,Icons|Provisioning,,@currentWeb|@window.innerWidth,,,hideSelection|hideColumnHeader|rowFormatter,
View,bulletin-board,Bulletin Board,https://github.com/pnp/list-formatting/tree/master/view-samples/bulletin-board,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/bulletin-board/assets/screenshot.png,Provides an example of creating a simple bulletin board listing. The rowFormatter property is used to fully customize the display of rows to create a nice view of list items while easily allowing users to click on the item for additional details. The large size and use of icons makes this much more attractive than a simple table view and keeps the functionality simple for users.,,Icons,,,toLocaleDateString,defaultClick|share|delete,hideSelection|rowFormatter,ms-bgColor-themePrimary|ms-bgColor-themeLighter--hover|ms-bgColor-white|ms-borderColor-themePrimary|ms-fontColor-themePrimary|ms-fontColor-themeLight|ms-fontColor-themeDark--hover|ms-fontColor-white|ms-fontWeight-regular|ms-fontWeight-semibold|ms-font-l|ms-fontSize-su|ms-fontSize-l|ms-bgColor-themeLight--hover
View,butterfly-chart,Butterfly Chart,https://github.com/pnp/list-formatting/tree/master/view-samples/butterfly-chart,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/butterfly-chart/assets/screenshot.png,This sample formats a SharePoint list view into a butterfly chart.,,Hover Cards|Charts,,,,,customCardProps|directionalHint|hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-red|ms-bgColor-redDark--hover|ms-bgColor-blueDark--hover|ms-bgColor-blue|ms-fontColor-red|ms-fontColor-blue|ms-fontSize-42|ms-fontSize-28|ms-fontSize-20
View,certificate-card,Certificate Card,https://github.com/pnp/list-formatting/tree/master/view-samples/certificate-card,Sai Bandaru,saiiiiiii,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/certificate-card/assets/screenshot.png,This sample uses SharePoint List Formatting to display certificate data as a card list view.,,,,,toLocaleDateString,,hideSelection|hideColumnHeader|rowFormatter,
View,chevron-shape-format,Chevron shape format,https://github.com/pnp/List-Formatting/tree/master/view-samples/chevron-shape-format,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/chevron-shape-format/assets/screenshot.gif,This sample how to create chevron style shape with background image. When mouse over image popups and display title and description.,,Icons|Inline Editing|Hover Cards|Board,,,,,customCardProps|directionalHint|hideSelection|hideColumnHeader|rowFormatter,ms-fontColor-white|ms-fontWeight-bold|ms-fontSize-20|ms-fontSize-18|ms-fontSize-12
View,christmas-tree,Christmas Tree,https://github.com/pnp/List-Formatting/tree/master/view-samples/christmas-tree,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/christmas-tree/assets/screenshot.gif,"This sample draws a tree across rows in 3 different stages 'alt' as top, 'body' as tree and 'wood' as bottom. You can also include icons in the tree. The Title field will appear as a tooltip on the icons.",,Icons|Hover Cards,,,,,customCardProps|beakStyle|directionalHint|hideSelection|hideColumnHeader|rowFormatter,
View,chronological-items,Chronological Items,https://github.com/pnp/List-Formatting/tree/master/view-samples/chronological-items,Franck Catinot,fcatinot,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/chronological-items/assets/screenshot.png,This sample formats your view to look like a chronological timeline.,,,,@rowIndex,,,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-themePrimary|ms-bgColor-neutralQuaternary|ms-borderColor-themeLighterAlt|ms-fontColor-neutralPrimary|ms-fontColor-neutralSecondary|ms-fontColor-neutralTertiary|ms-fontSize-20|ms-fontSize-16|ms-fontSize-14
View,clipboards,Clipboards,https://github.com/pnp/list-formatting/tree/master/view-samples/clipboards,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/clipboards/assets/screenshot.gif,"This sample displays a formatted card in a board view that enables tagging, updating card dates, menu options to reorder cards within their category, sharing links, flaging (focus colors), assigning a user, and minimizing/expaning the card.",,Icons|SVG|Inline Editing|Hover Cards,,,substring|getDate|getMonth|getYear|lastIndexOf,delete|defaultClick,inlineEditField|customCardProps|beakStyle|directionalHint|hideSelection|hideColumnHeader|rowFormatter,ms-borderColor-themePrimary|ms-fontColor-themePrimary|ms-fontWeight-bold|ms-fontSize-20|ms-fontSize-16|ms-fontSize-10
View,color-picker,Color Picker,https://github.com/pnp/list-formatting/tree/master/view-samples/color-picker,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/color-picker/assets/screenshot.gif,This sample contains pre-defined palettes of color (default matches Power Apps). These palettes are then made available as a color picker setting the value on selection.,,Icons|Inline Editing|Power Apps|Hover Cards,,,toLowerCase|indexOf|lastIndexOf,setValue,customCardProps|directionalHint|hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-gray30--hover|ms-fontSize-20
View,column-graph,Column Graph,https://github.com/pnp/list-formatting/tree/master/view-samples/column-graph,Anoop Tatti,anoopt,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/column-graph/assets/screenshot.png,This sample shows how to format a list to show the data as a column graph.,,Icons|Charts,,@rowIndex,,,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-themePrimary--hover|ms-bgColor-themeLighterAlt|ms-bgColor-themeDarker|ms-fontColor-themeDark|ms-fontColor-white|ms-fontColor-white--hover|ms-font-m|sp-field-dataBars
View,commandbar-display-edit-in-gridview,Display Edit in Grid View Button in the Command Bar,https://github.com/pnp/list-formatting/tree/master/view-samples/commandbar-display-edit-in-gridview,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/commandbar-display-edit-in-gridview/assets/screenshot.png,"In the Document Library, the [Edit in grid view] button is hidden under the [...] button. This sample demonstrates displaying the [Edit in grid view] button on the command bar.",,CommandBar Customization,,,,,,
View,commandbar-hide-all,Hide All Buttons on Command Bar,https://github.com/pnp/list-formatting/tree/master/view-samples/commandbar-hide-all,gitjego|Watana,gitjego,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/commandbar-hide-all/assets/screenshot.png,This sample demonstrates hiding all buttons on the command bar.,,CommandBar Customization,,,,,,
View,commandbar-hide-automate,Hide Automate Button in the CommandBar,https://github.com/pnp/list-formatting/tree/master/view-samples/commandbar-hide-automate,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/commandbar-hide-automate/assets/screenshot.png,Hides the Automate button when an item or items are selected.,,CommandBar Customization,,,,,,
View,contact-cards,Contact Cards,https://github.com/pnp/list-formatting/tree/master/view-samples/contact-cards,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/contact-cards/assets/screenshot.png,This is a sample of a complex format that customizes the entire display of a row. The goal is to illustrate several key principals including:,,Icons,,@currentWeb,,defaultClick|share|delete|editProps,hideSelection|rowFormatter,ms-bgColor-neutralLighter|ms-fontColor-themePrimary|ms-fontColor-themePrimary--hover|ms-fontColor-neutralPrimary|ms-fontColor-neutralSecondary|ms-fontColor-neutralTertiary|ms-fontColor-red--hover|ms-fontWeight-semibold|ms-fontWeight-regular|ms-fontWeight-semilight|ms-fontSize-l|ms-fontSize-m|ms-fontSize-sPlus|ms-fontSize-s|ms-fontSize-xs
View,contact-custom-avatar,Contact Custom Avatar Card,https://github.com/pnp/list-formatting/tree/master/view-samples/contact-custom-avatar,Sai Bandaru,saiiiiiii,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/contact-custom-avatar/assets/screenshot.png,This sample uses SharePoint List Formatting to display Contact Custom Avatar data as a Card view.,,Gallery|Icons,,,substring,,,
View,content-navigator,Content Navigator,https://github.com/pnp/List-Formatting/tree/master/view-samples/content-navigator,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/content-navigator/assets/screenshot.gif,Demonstrates the use of the id attribute to create linkable anchors.,,Gallery|Icons,,@rowIndex,,,hideSelection|fillHorizontally|hideColumnHeader|rowFormatter,ms-bgColor-white|ms-fontColor-neutralPrimary|ms-fontColor-themePrimary--hover|ms-fontColor-themeLight|sp-card-borderHighlight|sp-card-container|sp-card-defaultClickButton|sp-card-subContainer|sp-card-lastTextColumnContainer|sp-card-content|sp-card-highlightedContent
View,contenttype-variations,ContentType Variations,https://github.com/pnp/list-formatting/tree/master/view-samples/contenttype-variations,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/contenttype-variations/assets/screenshot.png,"Provides an example of customizing your format based on the item's content type. When an item's ContentType is Apple and the apple type is Green then green is used in the format. If it's Apple with a different type, red is used. Otherwise, orange is used.",,Provisioning,ContentType,@currentWeb,,defaultClick,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-white|ms-bgColor-orangeLighter--hover|ms-bgColor-red--hover|ms-bgColor-greenLight--hover|ms-borderColor-orangeLight|ms-borderColor-redDark|ms-borderColor-green|ms-fontColor-white--hover|ms-fontColor-orangeLight|ms-fontColor-redDark|ms-fontColor-green|ms-fontWeight-regular|ms-fontWeight-semibold|ms-fontSize-xl|ms-fontSize-m
View,current-year-rowclass,Current Year Row Class,https://github.com/pnp/List-Formatting/tree/master/view-samples/current-year-rowclass,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/current-year-rowclass/assets/screenshot.png,"Demonstrates applying a class to rows where a value equals the current year. Can easily be updated to compare other portions of the date such as the month, hour, minute etc. by using the other date-part operators.",,,,@now,getYear,,additionalRowClass,ms-bgColor-themeTertiary
View,currentuser-liked-rowclass,Current User Liked Row Class,https://github.com/pnp/List-Formatting/tree/master/view-samples/currentuser-liked-rowclass,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/currentuser-liked-rowclass/assets/screenshot.gif,This sample demonstrates how to change the background color of a row that has been liked by the current user.,,,,@me,indexOf,,additionalRowClass,ms-bgColor-themeLighter
View,custom-charts,Custom Charts,https://github.com/pnp/List-Formatting/tree/master/view-samples/custom-charts,Federico Sapia,Fedes365,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/custom-charts/assets/screenshot.png,"This templates package will allow you to quickly create 7 different types of charts, which you can organize into collections, share, and publish on SharePoint pages.",,Icons|Inline Editing|Hover Cards|SVG|Charts,,@me,substring|toString|cos|sin,setValue,customCardProps|inlineEditField|hideColumnHeader|hideSelection|beakStyle|directionalHint|rowFormatter,sp-field-bold|ms-bgColor-communicationTint40--hover|ms-bgColor-severeWarning--hover|ms-fontColor-black--hover|ms-fontColor-neutralQuaternaryAlt|sp-css-color-BlackText|sp-css-color-GrayText
View,custom-header,Custom Header,https://github.com/pnp/List-Formatting/tree/master/view-samples/custom-header,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/custom-header/assets/screenshot.png,"Sometimes it is necessary to remove the standard headers. In those cases, you may still want to show a custom header. This sample demonstrates creating a custom header and only showing it on the first row. The key to this technique is setting the `display` style attribute to `none` (hidden) whenever the `@rowIndex` is not 0 (first row).",,,,@rowIndex,toLocaleDateString,,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-themePrimary|ms-borderColor-neutralQuaternary|ms-fontColor-white|ms-fontColor-redDark
View,custom-hover-card,Custom Hover Card (View),https://github.com/pnp/List-Formatting/tree/master/view-samples/custom-hover-card,Niket Jain,NiketJain,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/custom-hover-card/assets/screenshot.png,A custom card is shown on hover of an item. The hover card shows additional details about an item's status.,,Icons|Power Automate|Hover Cards|Gallery,,@currentWeb,floor,executeFlow|share|delete|editProps,customCardProps|directionalHint|hideSelection,ms-bgColor-themeLight--hover|ms-bgColor-neutralLighterAlt|ms-fontColor-green|ms-fontColor-black|ms-borderColor-green|ms-borderColor-neutralSecondaryAlt|ms-fontColor-neutralSecondaryAlt
View,default-hover-card,Default Hover Card,https://github.com/pnp/List-Formatting/tree/master/view-samples/default-hover-card,Niket Jain,NiketJain,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/default-hover-card/assets/screenshot.png,This sample demonstrates showing a default hover card in a document library. On hover in a formatted view on a file a file card is displayed. On hover in a formatted view on a person column a profile card is displayed.,,Power Automate|Hover Cards|Gallery,,@thumbnail,,defaultClick|executeFlow|editProps,defaultHoverField|hideSelection,ms-fontWeight-semibold|ms-fontSize-14
View,department-members-list,Department Members List,https://github.com/pnp/List-Formatting/tree/master/view-samples/department-members-list,Watana,watana2,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/department-members-list/assets/screenshot.png,Turn list items into a custom table,,Hover Cards,,,getUserImage,,forEach|defaultHoverField|hideSelection|hideListHeader|rowFormatter,ms-borderColor-themeSecondary--hover|ms-borderColor-white|ms-bgColor-themeLighter|ms-bgColor-themePrimary|ms-fontColor-themeDark|ms-fontColor-white
View,diet-plan-card,Diet Plan Card Formatter,https://github.com/pnp/list-formatting/tree/master/view-samples/diet-plan-card,Sudeep Ghatak,sudeepghatak,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/diet-plan-card/assets/screenshot.png,"This SharePoint JSON view formatting sample transforms your list items into rich, visually appealing diet plan cards.",,CommandBar Customization,,,getUserImage,,hideSelection|hideColumnHeader|rowFormatter,
View,disable-click-action,Disable default click action on a tile list view,https://github.com/pnp/List-Formatting/tree/master/view-samples/disable-click-action,Michal Ziemba,Michal-Ziemba,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/disable-click-action/assets/screenshot.gif,The sample list of items in a tile view where default click action is disabled. When item is clicked it is selected only.,,Gallery,,,,,hideSelection|fillHorizontally,ms-bgColor-white|ms-fontColor-neutralPrimary|sp-card-borderHighlight|sp-card-container|sp-card-content|sp-card-defaultClickButton|sp-card-highlightedContent|sp-card-lastTextColumnContainer|sp-card-subContainer|sp-css-borderColor-neutralLight
View,disable-selection,Disable Selection,https://github.com/pnp/List-Formatting/tree/master/view-samples/disable-selection,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/disable-selection/assets/screenshot.png,This is a very basic sample that disables list item selection within your view.,,,,,,,hideSelection,
View,discussion-board,Discussion Board,https://github.com/pnp/list-formatting/tree/master/view-samples/discussion-board,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/discussion-board/assets/screenshot.gif,"This sample transforms your list into a discussion board with title, desription, tags, and votes are available. Additionally, users can react, comment, and perform inline edits!",,Icons|Inline Editing|Hover Cards,,@me|@rowIndex,toString|Number|toLocaleDateString|indexOf|length|substring|lastIndexOf|replace|getUserImage|appendTo|removeFrom|toUpperCase|getDate|getMonth|getYear,defaultClick|setValue|delete|share,forEach|inlineEditField|defaultHoverField|customCardProps|directionalHint|hideSelection|hideColumnHeader|rowFormatter|columnFormatterReference,ms-bgColor-neutralLight--hover|ms-bgColor-communicationTint20--hover|ms-bgColor-communicationTint40|ms-bgColor-gray30|ms-bgColor-gray30--hover|ms-fontColor-white|ms-fontColor-blueDark|ms-fontColor-gray100|ms-fontWeight-semibold|ms-fontSize-24|ms-fontSize-20|ms-fontSize-18|ms-fontSize-16|ms-fontSize-14|ms-fontSize-12|ms-bgColor-themePrimary|ms-fontColor-themePrimary|ms-fontWeight-bold|sp-field-italic|ms-bgColor-info--hover|ms-bgColor-gray60--hover|ms-fontColor-info|ms-fontSize-28|sp-css-backgroundColor-neutralLighterAlt
View,document-library-gallery-card,Custom Document Library Gallery Card,https://github.com/pnp/List-Formatting/tree/master/view-samples/document-library-gallery-card,Niket Jain,NiketJain,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/document-library-gallery-card/assets/screenshot.png,This sample uses tileProps element to format the tile layout for document libraries.,,Power Automate|Gallery,,@thumbnail,,defaultClick|executeFlow|editProps,forEach|hideSelection,ms-fontWeight-semibold|ms-fontSize-14
View,document-library-thumbnails,Document Library Thumbnails,https://github.com/pnp/list-formatting/tree/master/view-samples/document-library-thumbnails,Ravi Chandra,Ravikadri,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/document-library-thumbnails/assets/screenshot.png,This sample demonstrates showing files in a document libary as preview images.,,,ContentType,@currentWeb,,,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-themePrimary--hover|ms-bgColor-themeLighterAlt|ms-borderColor-neutralLight|ms-fontColor-neutralSecondary|ms-fontColor-white--hover|ms-fontWeight-regular|ms-fontSize-m
View,elf-progress-board,Elf Progress Board,https://github.com/pnp/List-Formatting/tree/master/view-samples/elf-progress-board,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/elf-progress-board/assets/screenshot.gif,"Demonstrates multi-level progress bars, randomization, handling image fields, setValue actions, and inlineEditField",,Icons|SVG|Inline Editing|Hover Cards|Gallery|Randomization,,@now|@rowIndex,toString|Number|loopIndex|length|ceiling|getUserImage,defaultClick|setValue,forEach|inlineEditField|defaultHoverField|customCardProps|directionalHint|hideSelection|fillHorizontally,ms-bgColor-themeLighter|ms-bgColor-neutralLight|ms-bgColor-neutralLighter|ms-bgColor-white|ms-borderColor-neutralPrimary|ms-borderColor-neutralLight|ms-borderColor-neutralLighter|ms-fontColor-themePrimary|ms-fontColor-neutralPrimary|ms-fontColor-neutralSecondary|ms-fontColor-neutralTertiary|ms-fontColor-neutralLight|ms-fontColor-red--hover|ms-fontColor-greenDark--hover|sp-card-borderHighlight|sp-card-personCallout|sp-card-container|sp-card-keyboard-focusable|sp-card-subContainer|sp-card-displayColumnContainer|sp-card-previewColumnContainer|sp-card-imagePreviewBackground|sp-card-userContainer|sp-card-userThumbnail|sp-card-userOthers|sp-card-userCustomCard|sp-card-defaultImage|sp-card-defaultImageOverlay|sp-card-imagePreview|sp-card-imageContainer
View,emoji-link-tiles,Link Collection using Emojis,https://github.com/pnp/List-Formatting/tree/master/view-samples/emoji-link-tiles,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/emoji-link-tiles/assets/screenshot.png,"This sample demonstrates a link collection using Emoji and is a customization of the Gallery layout. Additionally, this sample combines group customization with a tile format.",,Gallery|Grouped,,@group.count,,,hideSelection|groupProps|headerFormatter,ms-bgColor-themePrimary|ms-bgColor-themeLighter|ms-bgColor-white|ms-fontColor-themePrimary|ms-fontColor-neutralPrimary|ms-fontColor-neutralTertiaryAlt|ms-fontWeight-bold|ms-fontSize-68
View,emoji-reactions,Emoji Reactions,https://github.com/pnp/list-formatting/tree/master/view-samples/emoji-reactions,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/emoji-reactions/assets/screenshot.png,This sample demonstrates reacting with an emoji. Who reacted and the total counts per reaction are stored with the list item.,,Emoji|Icons|Inline Editing|Hover Cards,,@me,toString|Number|indexOf|length|substring|lastIndexOf|replace,setValue,customCardProps|directionalHint|hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-communicationTint20--hover|ms-bgColor-communicationTint40|ms-bgColor-gray30--hover|ms-fontColor-blueDark|ms-fontSize-24|ms-fontSize-20
View,employee-onboarding-steps,Employee Onboarding: Steps,https://github.com/pnp/List-Formatting/tree/master/view-samples/employee-onboarding-steps,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/employee-onboarding-steps/assets/screenshot.png,This sample is intended to be used in combination with the Employee Onboarding list template. The format restores the intended alternating rows but also adds a Tiles view that provides a more step based approach.,,Icons|Hover Cards|Gallery,,@rowIndex,,,defaultHoverField|additionalRowClass,ms-bgColor-neutralPrimary|ms-bgColor-white|ms-fontColor-neutralSecondary|ms-fontColor-white|ms-fontColor-green|sp-css-backgroundColor-neutralBackground|sp-css-backgroundColor-noFill|sp-css-backgroundColor-blueBackground37|sp-css-backgroundColor-successBackground50|sp-css-backgroundColor-warningBackground50|sp-css-backgroundColor-blockingBackground|sp-css-backgroundColor-errorBackground|sp-css-backgroundColor-blueBackground27
View,employee-recognition-card,Employee Recognition Card,https://github.com/pnp/list-formatting/tree/master/view-samples/employee-recognition-card,Sudeep Ghatak,sudeepghatak,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/employee-recognition-card/assets/screenshot.gif,"This sample acts as a digital shout-out board for your team, built right into SharePoint. It gives employees an easy way to recognize and appreciate each other's hard work. Colleagues can show their support by clicking on emojis to cast their votes.",,Icons|Inline Editing,,,getUserImage|Number,setValue,hideSelection|hideColumnHeader|rowFormatter,
